PAGE,PAPER_LINK,PAPER_TITLE,PAPER_ABSTRACT
1,https://www.medrxiv.org/content/10.1101/2024.04.22.24306200v1,Methamphetamine-associated Heart Failure: Clinical phenotypes and Outcomes in a Safety Net Population.,"AbstractBackground
Methamphetamine use has increased dramatically over the past decade and is associated with the development of heart failure (HF). However, clinical characteristics and outcomes have not been well described. This study aimed to compare clinical characteristics and outcomes among individuals with HF who do and do not use methamphetamines in a safety-net hospital.
Method
This retrospective matched cohort study included all individuals with HF with history of methamphetamine use and age, gender-, and year-matched controls without history of methamphetamine use within a municipal health system from 2001-2019. 1,783 individuals with methamphetamine use and HF were identified; 12 were excluded due to inability to identify matched methamphetamine-negative controls. Therefore, 1,771 individuals with methamphetamine use and heart failure and 3,542 age, sex, and year-of-HF-diagnosis matched controls with heart failure without methamphetamine use were included. The primary outcome was all-cause mortality. Secondary outcomes included time to HF hospitalization, and 30-day, 90-day, and 1 year HF and all-cause readmissions.  
Results
Median age of the cohort was 52.1 years and 22.6% were female. There was no significant difference in mortality between the two groups (40% vs 36.6%, HR 1.00, 95% CI 0.91, 1.10, p=1.00). A subset had an index HF hospitalization (n=1,404) during the study period including 637 (35.9%) with history of methamphetamine use and 767 (21.7%) without history of methamphetamine use (relative risk 1.66, 95%CI 1.52-1.81, p<0.0001). Among those ever hospitalized for HF, individuals with methamphetamine use had increased odds of HF and all-cause readmission at 30 days, 90 days, and 1 year. 
Conclusion
Despite having higher risk of both all cause and HF readmissions, individuals with methamphetamine-associated heart failure did not have higher risk of mortality. Measures to address frequent healthcare utilization among people with methamphetamine use and HF are needed."
1,https://www.medrxiv.org/content/10.1101/2024.04.22.24306198v1,Association of aortic clamping time with systemic immune inflammation and systemic inflammatory response indexes in isolated coronary bypass surgery,"AbstractObjective: Aortic clamping time during cardiopulmonary bypass (CPB) has been associated with inflammatory processes such as systemic inflammatory response syndrome. In this study, we evaluated the association of CPB and aortic cross-clamping (ACC) times with systemic inflammatory response index (SIRI) and systemic immune inflammation index (SIII) in isolated coronary artery bypass surgery (CABG).
Methods: 96 patients who underwent isolated CABG at a single center between 2021 and 2023 were retrospectively analyzed. Patients were divided into below median aortic clamp time (group I; n=56) and above median aortic clamp time (group II; n=42) according to median aortic clamp time (66.2 minutes). Demographic data, preoperative and postoperative laboratory parameters were recorded. SIRI and SIII values were calculated.
Results: Baseline demographic data were similar between the groups. The duration of CPB and aortic clamping was significantly longer in group II (p<0.001). SIII and SIRI values were significantly increased in both groups in the postoperative period. However, there was no correlation between increased CPB and ACC durations and SIII and SIRI. However, no significant difference was observed in postoperative SIII and SIRI values between the groups. A weak correlation was found between SIII index and postoperative albumin levels.
Conclusions: There is no significant relationship between aortic clamping time and inflammatory indices in patients undergoing isolated CABG surgery. Increasing the duration of surgery does not affect the change in SIRI and SIII values."
1,https://www.medrxiv.org/content/10.1101/2024.04.22.24306195v1,"The Metabolic Triad: Trends and Determinants of the Isolated and Combined Presence of Hypertension, Obesity, and Diabetes in Peru","AbstractIntroduction: In recent years, the presence of non-communicable diseases, particularly hypertension (HTN), obesity, and type 2 diabetes mellitus (T2DM), has emerged as a significant threat to global public health.
Objective: To determine the trends and factors associated with these diseases' isolated and combined presence in both dual and triple forms (metabolic triad).
Methods: Secondary data analysis from the Demographic and Family Health Survey for 2014 to 2022. The primary variable had seven categories, ranging from isolated states to triple combinations. Given the polytomous nature of the dependent variable, multinomial logistic regression models were constructed. The results of these models are presented in the form of adjusted odds ratios, accompanied by their 95% confidence intervals (95% CI).
Results: Among the isolated forms, obesity was the most prevalent comorbidity (15.35%), while T2DM was the least common (1.14%). Among the combined forms, the most frequent was obesity and HTN (6.40%). The prevalence of the metabolic triad was low (0.84%). The factors commonly related to each were female sex, age, urban residency, region, economic level, daily smoking, alcohol consumption, and altitude.
Conclusions: An increasing prevalence of HTN, T2DM, and obesity was found, both individually and in their various combinations. Furthermore, the complexity and sometimes contradictory nature of the associated factors, which can increase or decrease the presence of these metabolic diseases, reflect the need for a personalized approach to prevention and treatment."
1,https://www.medrxiv.org/content/10.1101/2024.04.23.24306217v1,Mapping the environmental co-benefits of reducing low-value care: a scoping review and bibliometric analysis,"AbstractBackground:
Reducing low-value care (LVC) and improving healthcare’s climate readiness are critical factors to improve the sustainability of health systems across the globe. Care practices that have been deemed low or no value, in effect, generate carbon emissions, waste and pollution without improving patient or population health. There is nascent, but growing, research and evaluation to inform practice change focused on the environmental co-benefits of reducing LVC. The objective of this study was to develop foundational knowledge of this field through a scoping review and bibliometric analysis.
Methods:
We searched four databases, Medline, Embase, Scopus and CINAHL, each from inception to July 2023. We followed established scoping review and bibliometric analysis methodology to collect and analyze the data. Publication characteristics, healthcare and environmental sustainability focus (scoping review); authors, institutions, institution countries, and collaborations (bibliometric analysis) data were collected.
Findings:
145 publications met inclusion criteria and were published between 2013 – July 2023; with over 80% published since 2020. Empirical studies represented 21% while commentary, editorials or opinions represented 51% of publications. The majority focused on healthcare generally (27%), followed by laboratory testing (14%), and medications (14%). Empirical publications covered a broad range of environmental issues with general and practice-specific ‘Greenhouse gas (GHG) emissions’, ‘waste management’ and ‘resource use’ as most common topics. Reducing practice-specific ‘GHG emissions’ was the most common reported environmental outcome. The bibliometric analysis revealed numerous international collaboration networks of prolific authors producing work across healthcare practices and settings, studying numerous environmental sustainability issues.
Conclusions:
This study reveals that research and evaluation to inform practice change on the environmental co-benefits of reducing LVC is growing internationally, across multiple healthcare and environmental areas. Results demonstrate a need and opportunity for the emerging community to clarify approaches and strengthen the evidence-base through further empirical work in the field."
1,https://www.medrxiv.org/content/10.1101/2024.04.22.24306196v1,Oxytocin reduces subjective fear in naturalistic social contexts via enhancing top-down middle cingulate-amygdala regulation and brain-wide connectivity,"AbstractAccumulating evidence from animal and human studies suggests a fear-regulating potential of the neuropeptide oxytocin (OT), yet the clinical translation into novel interventions for pathological fear requires a behavioral and neurofunctional characterization under close-to-real life conditions. Here, we combined a naturalistic fMRI-design inducing high and immersive fear experience in social and non-social contexts with a preregistered between-subjects randomized double-blind placebo-controlled intranasal OT trial (24 IU, n = 67 healthy men). OT reduced subjective fear in non-social and social contexts with small or moderate effect sizes, respectively. In the social fear contexts, OT enhanced left middle cingulate cortex (lMCC) activation and its functional connectivity with the contralateral amygdala, with both neural indices significantly and inversely associated with subjective fear following OT. On the network level, OT enhanced communication between the dorsal attention network (DAN) with the fronto-parietal (FPN) and the default-mode network (DMN) as well as on the more fine-grained level brain-wide communication. These findings indicate a fear-reducing potential of OT under naturalistic conditions with pronounced effects in social contexts, suggesting a high treatment value in disorders with social context-related excessive fear."
1,https://www.medrxiv.org/content/10.1101/2024.04.22.24306197v1,Efficacy and Safety of an Inactivated Whole-Virion SARS-CoV-2 Vaccine (CoronaVac) in Brazilian Healthcare Professionals: The PROFISCOV Trial,"AbstractBackground: CoronaVac, an inactivated COVID-19 vaccine, underwent evaluation for its efficacy and safety during the PROFISCOV study conducted in Brazil.
Methods: Between July 21, 2020, and July 29, 2021, 13,166 participants provided informed consent, with 12,688 randomized for the trial. Participants were allocated between vaccine and placebo arms (1:1) and monitored for symptomatic COVID-19 cases, severity of disease, and adverse reactions after two doses given 14 days apart.
Findings: The primary efficacy analysis revealed a vaccine efficacy of 50.39% (95% confidence interval [CI], 35.26% to 61.98%; p=0.0049) in preventing symptomatic COVID-19, leading to the issuance of Emergency Use Authorization for CoronaVac in January 2021. Upon completion of follow-up, vaccine efficacy was 44⸱58% [95% CI, 34.89% to 52.83%; p= 0.0023] in preventing COVID-19 and 82⸱14% (95% CI, 64.93% to 90.90%; p<0.0001) in preventing severe COVID-19. Safety data indicated that adverse reactions were more frequent in the vaccine arm, primarily mild to moderate, with pain at the injection site and headache being the most common.
Interpretation: CoronaVac demonstrated moderate efficacy in preventing symptomatic COVID-19 and high efficacy against severe disease. While reactions were slightly more common in the vaccine group, they were generally mild and manageable."
1,https://www.medrxiv.org/content/10.1101/2024.04.23.24306229v1,Video Observed Therapy (VOT) for People with Tuberculosis (TB): A Scoping Review,"AbstractBackground: Tuberculosis (TB) remains a significant cause of morbidity and mortality globally, disproportionately affecting low- and middle-income countries (LMIC). Accessing Directly Observed Therapy (DOT) is associated with out-of-pocket costs and stigma. Video-observed therapy (VOT) is an alternative to DOT but evidence from LMIC with high TB burden is limited. To make recommendations for future VOT-related research and inform the design of a pilot implementation of VOT for people with multi-drug resistant TB (MDR-TB) in Mozambique, we did a scoping review of the evidence on VOT for people with TB.
Methodology: We systematically searched five scientific databases and key grey literature repositories to identify eligible abstracts. Abstracts were reviewed and full-text records were identified and evaluated. Data from full-text records were extracted into four implementation theme categories: Feasibility, Acceptability, Cost, and Effectiveness (FACE). Content analysis was used to describe implementation successes and challenges, comparing VOT versus DOT where possible. The Crowe Critical Appraisal Tool (CCAT) was used to evaluate the quality of studies. 
Results: In total, 66 records were identified: 47 primary research studies, 13 reviews, and six grey literature documents. All studies were graded as moderate to high quality and reported against at least one FACE category. Studies from urban settings (n=34) and HIC (n=33) predominated. Where measured and described, VOT implementation was reported to be feasible (43/43, 100%) and acceptable (43/44, 97%). Of the 18/20 (90%) studies describing cost data, VOT was reported to offer savings to the health system compared to DOT. Patient costs were under-reported. Of the 21/23 (91%) studies describing effectiveness to improve adherence to TB treatment, VOT was reported to be non-inferior to DOT.  
Conclusion: In HIC settings, VOT was reported as feasible, acceptable, and similarly effective alternative to DOT. Further evidence on VOT is needed from LMIC with high TB burden."
1,https://www.medrxiv.org/content/10.1101/2024.04.22.24306094v1,The Role of X Chromosome in Alzheimer′s Disease Genetics.,"AbstractImportance: The X chromosome has remained enigmatic in Alzheimer′s disease (AD), yet it makes up 5% of the genome and carries a high proportion of genes expressed in the brain, making it particularly appealing as a potential source of unexplored genetic variation in AD.

Objectives: Perform the first large-scale X chromosome-wide association study (XWAS) of AD. Primary analyses are non-stratified, while secondary analyses evaluate sex-stratified effects.

Design: Meta-analysis of genetic association studies in case-control, family-based, population-based, and longitudinal AD-related cohorts from the US Alzheimer[prime]s Disease Genetics Consortium (ADGC) and Alzheimer[prime]s Disease Sequencing Project (ADSP), the UK Biobank (UKB), the Finnish health registry (FinnGen), and the US Million Veterans Program (MVP). Risk for AD evaluated through case-control logistic regression analyses. Data were analyzed between January 2023 and March 2024.

Setting: Genetic data available from high-density single-nucleotide polymorphism (SNP) microarrays and whole-genome sequencing (WGS). Summary statistics for multi-tissue expression and protein quantitative trait loci (QTL) available from published studies, enabling follow-up genetic colocalization analyses.

Participants: 1,629,863 eligible participants were selected from referred and volunteer samples, of which 477,596 were excluded for analysis exclusion criteria. Number of participants who declined to participate in original studies was not available. 
Main Outcome and Measures: Risk for AD (odds ratio; OR) with 95% confidence intervals (CI). Associations were considered at X-chromosome-wide (P-value<1e-5) and genome-wide (P-value<5e-8) significance. 

Results: Analyses included 1,152,284 non-Hispanic White European ancestry subjects (57.3% females), including 138,558 cases. 6 independent genetic loci passed X-chromosome-wide significance, with 4 showing support for causal links between the genetic signal for AD and expression of nearby genes in brain and non-brain tissues. One of these 4 loci passed conservative genome-wide significance, with its lead variant centered on an intron of SLC9A7 (OR=1.054, 95%-CI=[1.035, 1.075]) and colocalization analyses prioritizing both the SLC9A7 and nearby CHST7 genes.

Conclusion and Relevance: We performed the first large-scale XWAS of AD and identified the novel SLC9A7 locus. SLC9A7 regulates pH homeostasis in Golgi secretory compartments and is anticipated to have downstream effects on amyloid beta accumulation. Overall, this study significantly advances our knowledge of AD genetics and may provide novel biological drug targets."
1,https://www.medrxiv.org/content/10.1101/2024.04.22.24306203v1,"Blood pressure control and maintenance in a prospective cohort of younger Veterans: Roles of sex, race, ethnicity, and social determinants of health","AbstractBackground: Proactive blood pressure (BP) management is particularly beneficial for younger Veterans, who have a greater prevalence and earlier onset of cardiovascular disease than non-Veterans. It is unknown what proportion of younger Veterans achieve and maintain BP control after hypertension onset and if BP control differs by demographics and social deprivation.
Methods: Electronic health records were merged from Veterans who enrolled in VA care 10/1/2001-9/30/2017 and met criteria for hypertension – first diagnosis or antihypertensive fill. BP control (140/90 mmHg) was estimated 1, 2, and 5 years post-hypertension documentation, and characterized by sex, race, and ethnicity. Adjusted logistic regressions assessed likelihood of BP control by these demographics and with the Social Deprivation Index (SDI).
Results: Overall, 17% patients met criteria for hypertension (n=198,367; 11% of women, median age 41). One year later, 59% of men and 65% of women achieved BP control. After adjustment, women had a 72% greater odds of BP control than men, with minimal change over 5 years. Black adults had a 22% lower odds of BP control than White adults. SDI did not significantly change these results.
Conclusions: In the largest study of hypertension in younger Veterans, 41% of men and 35% of women did not have BP control after 1 year, and BP control was consistently better for women through 5 years. Thus, the first year of hypertension management portends future, long-term BP control. As social deprivation did not affect BP control, the VA system may protect against disadvantages observed in the general U.S. population."
1,https://www.medrxiv.org/content/10.1101/2024.04.23.24306024v1,Crossing the digital divide: The workload of manual data entry for integration between mobile health applications and eHealth infrastructure,"AbstractBackground: Many digital health interventions (DHIs), including mobile health (mHealth) apps, aim to improve both client outcomes and efficiency like electronic medical record systems (EMRS). Although interoperability is the gold standard, it is also complex and costly, requiring technical expertise, stakeholder permissions, and sustained funding. Manual data linkage processes are commonly used to integrate across systems and allow for assessment of DHI impact, a best practice, before further investment. For mHealth, the manual data linkage workload, including related monitoring and evaluation  (M&E) activities,  remains poorly understood. 

Methodology: As a baseline study for an open-source app to mirror EMRS and reduce healthcare worker (HCW) workload while improving care in the Nurse-led Community-based Antiretroviral therapy Program (NCAP) in Lilongwe, Malawi, we conducted a time-motion study observing HCWs completing data management activities, including routine M&E and manual data linkage of individual-level app data to EMRS. Data management tasks should reduce or end with successful app implementation and EMRS integration. Data was analysed in Excel. 

Results: We observed 69:53:00 of HCWs performing routine NCAP service delivery tasks: 39:52:00 (57%) was spent completing M&E data related tasks of which 15:57:00 (23%) was spent on manual data linkage workload, alone. 

Conclusion: Understanding the workload to ensure quality M&E data, including to complete manual data linkage of mHealth apps to EMRS, provides stakeholders with inputs to drive DHI innovations and integration decision making. Quantifying potential mHealth benefits on more efficient, high-quality M&E data may trigger new innovations to reduce workloads and strengthen evidence to spur continuous improvement."
